Issue,Symptoms_Observed,Root_Cause_Problem,Solution,Category,Device,combined
Remote connection issue,no network access,,PC restart after update,,PC,remote connection issue no network access 
No remote control of PSU via RBS,Voltcraft PSU not detected,,Replace Voltcraft model with EA-PS Model,,PSU,no remote control of psu via rbs voltcraft psu not detected 
Replace A2 sample with B0,,,,,ECU,replace a2 sample with b0  
PC not connecting,no network access,,Require pre logged in user,,PC,pc not connecting no network access 
Relay card not working,no power on relay card,,"Fuse blown, needs replacement",,Relay_Card,relay card not working no power on relay card 
Sample power down,very little current (0.054 A),,,,ECU,sample power down very little current (0.054 a) 
"B2 sample test failing, bench blocked",,,Sample Swap,,ECU,"b2 sample test failing, bench blocked  "
"Bench Blocked (Debug port fail, bus error at address DAP:0x80038FE0) -> target rest detected",Target in continuous reset,,DebiProg – Flash Erase,,ECU,"bench blocked (debug port fail, bus error at address dap:0x80038fe0) -> target rest detected target in continuous reset "
Sample in Reset mode,Target in Continuous reset,,DebiProg – Flash Erase,,ECU,sample in reset mode target in continuous reset 
Bus address error,Sample drawing very little current,,RA6 recovery steps,,ECU,bus address error sample drawing very little current 
Sample in Reset mode,Sample drawing very little current,,Debiprog – Flash Erase,,ECU,sample in reset mode sample drawing very little current 
EA-PS PSU not showing,Voltage and Current values not showing on PC,,Configure connection address,,PC,ea-ps psu not showing voltage and current values not showing on pc 
LED working troubleshoot,,,Try different connections,,Bench_HW,led working troubleshoot  
BODA flash issue,Sample getting bricked,,"Pic of sample used for BODA test, need labels",,ECU,boda flash issue sample getting bricked 
Sample with WatchDog feature disabled,,,,,ECU,sample with watchdog feature disabled  
RASIX-86100,Sample getting bricked,,No,,ECU,rasix-86100 sample getting bricked 
Sample bricked,Sample drawing very little current,,Debiprog – Flash Erase,,ECU,sample bricked sample drawing very little current 
"Bench Offline, no remote connection",no network access,,Enable user access and internet access,,PC,"bench offline, no remote connection no network access "
Change to FR C0,,,,,ECU,change to fr c0  
"Sample Flashing, counters not running",,,,,ECU,"sample flashing, counters not running  "
C0 sample power down,not connecting to Trace32,,"C0 not functioning, Sample change",,ECU,c0 sample power down not connecting to trace32 
"Multiplexer implementation, T32 flashing",,,"Explain, troubleshooting",,ECU,"multiplexer implementation, t32 flashing  "
Trace not working,Sample power fail,,,,ECU,trace not working sample power fail 
Sample Bricked,Sample drawing very little current,,Debiprog – Flash Erase,,ECU,sample bricked sample drawing very little current 
Sample change and harness fix,CAN & ETH link fail on Vector HW,,,,Bench_HW,sample change and harness fix can & eth link fail on vector hw 
"Current Fluctuation, power down trace, PSU not working remotely",PSU detection fail,,PSU reconnection,,Bench_HW,"current fluctuation, power down trace, psu not working remotely psu detection fail "
ESB box to C0,,,Connection and verification,,Bench_HW,esb box to c0  
FR C1 sample not running,Target power fail,,Lauterbach troubleshooting,,Trace32,fr c1 sample not running target power fail 
ETH & CAN connection,CAN & ETH link fail on CANoe,,Powercycle and reset connection,,ECU,eth & can connection can & eth link fail on canoe 
Replace voltcraft with Toellner,Voltcraft PSU not programmable for automation,,Setup toellner and configure IP,,Bench_HW,replace voltcraft with toellner voltcraft psu not programmable for automation 
Sample change,,,,,ECU,sample change  
ETH link for new SW,CAN & ETH link fail on Vector HW,,"Troubleshooting, (maybe something wrong with the harness)",,Bench_HW,eth link for new sw can & eth link fail on vector hw 
"Bench Offline, no remote connection",no network access,,Critical system failure,,PC,"bench offline, no remote connection no network access "
MDC pin measurment,,,Physically holding pin on MDC pin,,Bench_HW,mdc pin measurment  
PSU remote control,PSU detection fail,,Restart PSU and COM config,,Bench_HW,psu remote control psu detection fail 
"Trace32 – target power fail , power fluctuation",Sample getting bricked,,Debiprog – Flash Erase,,ECU,"trace32 – target power fail , power fluctuation sample getting bricked "
Toellner config,,,IP change and ping,,PC,toellner config  
Need Toellner PSU,,,Replace from NM bench,,Bench_HW,need toellner psu  
"Bench Offline, no remote connection",no network access,,Restart and IP config,,PC,"bench offline, no remote connection no network access "
Unable to connect to bench,no network access,,IP change,,PC,unable to connect to bench no network access 
"Canope SW, invalid IP address",,,Try reinstalling Canope22,,Vector_SW,"canope sw, invalid ip address  "
No remote connection,No network on PC,"IP change, BCN authentication","PC update, configure IP authentication settings",PC_Connection,PC,"no remote connection no network on pc ip change, bcn authentication"
Sample drawing no power,Relay controllable but no voltage on Port1,Relay Card Port fail,Relay card change,Bench_HW,PMB,sample drawing no power relay controllable but no voltage on port1 relay card port fail
CR sample not working,Sample not going into attach mode,Target power fail,Sample recovery via Trace32,Debugger,Trace32,cr sample not working sample not going into attach mode target power fail
Debugger not working,Sample not going into prepare mode,Target power fail,B5 sample related to C => use SX601_C0 Trace,Debugger,Trace32,debugger not working sample not going into prepare mode target power fail
Automated testcase not running,"Invalid IP address from windows ARP table, Automated flashing step not possible",POD IP mismatch,Change IP configuration,Vector_SW,Vector,"automated testcase not running invalid ip address from windows arp table, automated flashing step not possible pod ip mismatch"
PSU not drawing current,Current very low (0.083 A),Target power down,Sample power cycle,Debugger,ECU,psu not drawing current current very low (0.083 a) target power down
Trace32 device reset not possible remotely,No device connected to PDU,Device not connected,Setup Device according to setup configuration,Bench_HW,PDU,trace32 device reset not possible remotely no device connected to pdu device not connected
Trace32 Device not detected,no Debugger Device detection,Trace32 detection fail,Device hard reset,Debugger,Trace32,trace32 device not detected no debugger device detection trace32 detection fail
No remote connection,"Remote desktop service session ended, desktop shutting down",PC auto update,PC reset Required,Desktop,PC,"no remote connection remote desktop service session ended, desktop shutting down pc auto update"
ETH connection fail,"ETH fail on CANoe, ETH physically connected",Connection detection fail,Disconnect and reconnect,ECU_HW,VN5650,"eth connection fail eth fail on canoe, eth physically connected connection detection fail"
Sample power down,PSU not working Remotely,PSU detection fail,PSU reset,Bench_HW,PSU,sample power down psu not working remotely psu detection fail
Target system down,Sample not going into prepare mode,Target system down,Powercycle and warm reset,Debugger,Trace32,target system down sample not going into prepare mode target system down
EY PC duration expired,Old PC needs to be returned,PC expired,New PC RNG-C-004TG inplace,Desktop,PC,ey pc duration expired old pc needs to be returned pc expired
Sensor Heating Setup required,,Special usecase testing,Setup Sensor Heating,Setup_Change,Bench,sensor heating setup required  special usecase testing
Bench Offline,PC not connecting to Bosch network,"IP change, BCN authentication","PC update, configure IP authentication settings",PC_Connection,PC,"bench offline pc not connecting to bosch network ip change, bcn authentication"
new sensor required,,Special uscase testing,Swap sample,Setup_Change,Bench,new sensor required  special uscase testing
bench sometimes does not connect,PC goes to sleep mode,PC sleeps,change system setting,Desktop,PC,bench sometimes does not connect pc goes to sleep mode pc sleeps
Invalid CANope liscense,unable to open Vector SW,Vector SW fail,"Restart PC, install correct Canape TBE license",Vector_SW,PC,invalid canope liscense unable to open vector sw vector sw fail
No remote connection,"No network on PC, after update","IP change, BCN authentication","PC update, configure IP authentication settings",PC_Connection,PC,"no remote connection no network on pc, after update ip change, bcn authentication"
Sample Change B to A required,,New sample,Swap sample,Setup_Change,ECU,sample change b to a required  new sample
Canape offline,Canope license not detected,Vector license connection,"PC restart, License update",Vector_SW,Vector,canape offline canope license not detected vector license connection
Bench offline,Network authentication required,New IP not updated on RTB,New IP,PC_Connection,PC,bench offline network authentication required new ip not updated on rtb
no current for VX box,Relay 15 not on,Incorrect_relay usage,toggle relay 15 for VX box,Vector_HW,VX1161,no current for vx box relay 15 not on incorrect_relay usage
Target power down,Sample not detected properly on Trace32,2 Trace32 devices detected,Turn off second Trace32 device,Debugger,Trace32,target power down sample not detected properly on trace32 2 trace32 devices detected
Sample counters not running,Counters not incrementing,Incorrect Flashing,"Restart Device, ReFlash",Debugger,Trace32,sample counters not running counters not incrementing incorrect flashing
No remote connection,"Unable to login in, requires known User",No network,IT support,PC_Connection,PC,"no remote connection unable to login in, requires known user no network"
Lauterbach not detected,Trace32 device not powered on,Trace32 device not powered,Use PMB to switch on Trace32 device,Debugger,Trace32,lauterbach not detected trace32 device not powered on trace32 device not powered
Sample not going into attach mode,bus error at address DAP:0x80038FE0  & EC14:0x7,Sample Bricked,DediProg Flash erase and RA6 recovery steps,ECU_SW,ECU,sample not going into attach mode bus error at address dap:0x80038fe0  & ec14:0x7 sample bricked
Debugger not working,Sample not going into prepare mode,Incorrect Trace32 device usage,Correct Device and configuration,Debugger,Trace32,debugger not working sample not going into prepare mode incorrect trace32 device usage
L4 PC duration expired,Old PC needs to be returned,PC expired,New PC RNG-C-004RY inplace,Desktop,PC,l4 pc duration expired old pc needs to be returned pc expired
FR TI testing blocked,5P6 broken,PC broken,Move 5P6 sample to 5PC,Desktop,Bench,fr ti testing blocked 5p6 broken pc broken
Trace32 device not detected,no Debugger Device detection,Trace32 detection fail,Device hard reset,Debugger,Trace32,trace32 device not detected no debugger device detection trace32 detection fail
PC not reachable,"Unable to login in, black screen after login",No network,PC needs replacement,PC_Connection,PC,"pc not reachable unable to login in, black screen after login no network"
Sensor Heating Setup  change required,,Special usecase testing,Setup Sensor Heating,Setup_Change,Bench,sensor heating setup  change required  special usecase testing
Canape 22 security issue,"Security issue, some functions unavailable",Old version,Install CANape 23,Vector_SW,Bench,"canape 22 security issue security issue, some functions unavailable old version"
VX Pod cable discoonected,Slot 3 (2) is not configured or not working,Port configuration,Port change to Port 4 (3),Vector_HW,VX1161,vx pod cable discoonected slot 3 (2) is not configured or not working port configuration
Sample not flashable,target power fail,Sample Bricked,DediProg flash erase,ECU_SW,,sample not flashable target power fail sample bricked
Sample showing unusual behaviour,Running reset state,ECU OTP programming,DediProg flash erase,ECU_SW,ECU,sample showing unusual behaviour running reset state ecu otp programming
Trace32 device swap,Trace32 connected to CR,Hardware connection swap,Change JTAG board to FR,Setup_Change,Trace32,trace32 device swap trace32 connected to cr hardware connection swap
Sample bench change for OTP,Sample in 5PC,Need Trace32 device,move sample to 183F bench,Setup_Change,ECU,sample bench change for otp sample in 5pc need trace32 device
Bench Blocked,Current PC is Broken,PC Broken,New PC on Bench,Desktop,PC,bench blocked current pc is broken pc broken
Target power fail,"Counters ran, after powercycle bricked -> target power fail",ECU_SW unstable with Trace32,Check SW programming,ECU_SW,ECU,"target power fail counters ran, after powercycle bricked -> target power fail ecu_sw unstable with trace32"
Sample dead,Continous reset mode,Sample Bricked,DediProg flash erase,ECU_SW,ECU,sample dead continous reset mode sample bricked
Sample Change A to B required,,New sample,,Setup_Change,Bench,sample change a to b required  new sample
CANape Issue,"Connection issue with ECU, IP fail",POD IP address mismatch,Change IP configuration on Canape to match that of ECU POD,Vector_SW,VX1161,"canape issue connection issue with ecu, ip fail pod ip address mismatch"
No flashing,B1 gigabit still empty after flashing,ECU not flashing,Try B2 gigbit sample,Setup_Change,Bench,no flashing b1 gigabit still empty after flashing ecu not flashing
Trace32 not working,Error with intercom drivers,Port in use,Trace32 reset  and PC reset,Debugger,Trace32,trace32 not working error with intercom drivers port in use
Continous Reset,,,,,ECU,continous reset  
Task counters not running,Device in continous reset mode on Trace 32,Sample Bricked,DediProg flash erase,ECU_SW,ECU,task counters not running device in continous reset mode on trace 32 sample bricked
Eth communication fail,MAC address of ECU not matching,No ETH communication,Revisit COM SW,ECU_SW,ECU,eth communication fail mac address of ecu not matching no eth communication
Sample changes,,New Sample,Swap sample,Setup_Change,Bench,sample changes  new sample
ETH communication fail,CR sample using ETH1,Configured to ETH 3,Change IP configuration,Vector_SW,Vector,eth communication fail cr sample using eth1 configured to eth 3
Bench not in active state for connecting,"PC Shutdown, restart required",IP on RTB tool incorrect,PC reset and auto IP change,Desktop,PC,"bench not in active state for connecting pc shutdown, restart required ip on rtb tool incorrect"
No Diagnose response from ECU,"VN box detecting connection but no messages flowing, SW was working before",,,ECU_SW,ECU,"no diagnose response from ecu vn box detecting connection but no messages flowing, sw was working before "
Sample Change for different testing,,New sample,,Setup_Change,Bench,sample change for different testing  new sample
Remote access denied,User not in list of allowed Remote access,No Remote access permission,Give remote access,Desktop,PC,remote access denied user not in list of allowed remote access no remote access permission
ETH not working,Ethernet link not detected,VN box configuration,Change ETH configuration settings,Vector_HW,Vector,eth not working ethernet link not detected vn box configuration
No remote connection,PC restarting,"IP change, BCN authentication",configure IP authentication settings,PC_Connection,PC,"no remote connection pc restarting ip change, bcn authentication"
Relay Box (PMB) not working,No current change when Relay Switchs toggled,Netgear Switch diconnected,Reconnect Switch to PC,Bench_HW,PMB,relay box (pmb) not working no current change when relay switchs toggled netgear switch diconnected
ECU not working,"Sample connected powered up, No messages observed",SW not fully integrated,"Attach to debugger bench, erase flash working Sw and check for messages",ECU_SW,ECU,"ecu not working sample connected powered up, no messages observed sw not fully integrated"
